A,C,D,E,F,G,H,I,J
309,Alan Barnes,33444,-30.48,14.97,7.51,Northwest Territories,Storage & Organization,0.57
310,Carl Ludwig,33703,-131.48,60.98,1.99,Northwest Territories,Computer Peripherals,0.5
311,Carl Ludwig,33703,56.26,29.74,6.64,Northwest Territories,Storage & Organization,0.7
312,Carl Ludwig,33703,-8.47,12.21,4.81,Northwest Territories,Storage & Organization,0.58
313,Jamie Kunitz,33734,106.53,29.14,4.86,Northwest Territories,Paper,0.38
314,Heather Kirkland,33888,-44.92,11.5,7.19,Northwest Territories,Binders and Binder Accessories,0.4
315,Heather Kirkland,33888,-35.08,15.7,11.25,Northwest Territories,Storage & Organization,0.6
316,Heather Kirkland,33888,965.48,225.02,28.66,Northwest Territories,Storage & Organization,0.72
317,Doug Bickford,33894,11.34,9.27,4.39,Northwest Territories,Paper,0.38
318,Doug Bickford,33894,-32.48,6.84,8.37,Northwest Territories,"Scissors, Rulers and Trimmers",0.58
319,Doug Bickford,33894,-173.15,4.98,4.62,Northwest Territories,Computer Peripherals,0.64
320,Doug Bickford,33894,-119.02,32.98,5.5,Northwest Territories,Computer Peripherals,0.75
321,Carlos Daly,33922,5353.19,500.97,69.3,Northwest Territories,Office Machines,0.37
322,Toby Braunhardt,34177,9.47,2.61,0.5,Northwest Territories,Labels,0.39
323,Toby Braunhardt,34177,73.18,7.31,0.49,Northwest Territories,Labels,0.38
324,Toby Braunhardt,34177,-83.95,20.99,2.5,Northwest Territories,Telephones and Communication,0.81
325,Cari Schnelling,34215,-5.92,5.34,2.99,Northwest Territories,Binders and Binder Accessories,0.38
326,Thomas Seio,34246,-257.11,4.06,6.89,Northwest Territories,Appliances,0.6
327,Thomas Seio,34246,192.33,99.99,19.99,Northwest Territories,Office Machines,0.52
328,Thomas Seio,34246,1.91,11.58,6.97,Northwest Territories,Envelopes,0.35
329,Brendan Dodson,34631,-22.28,3.36,6.27,Northwest Territories,Binders and Binder Accessories,0.4
330,Brendan Dodson,34631,2808.22,699.99,24.49,Northwest Territories,Copiers and Fax,0.41
331,Charlotte Melton,35047,-7.06,4.71,0.7,Northwest Territories,Rubber Bands,0.85
332,Beth Thompson,35266,33.5,5.84,1.2,Northwest Territories,Pens & Art Supplies,0.55
333,Beth Thompson,35266,-998.94,218.75,69.64,Northwest Territories,Tables,0.77
334,Eugene Barchas,35847,-144.27,15.98,8.99,Northwest Territories,Computer Peripherals,0.64
335,Michelle Lonsdale,36001,-78.36,22.38,15.1,Northwest Territories,Binders and Binder Accessories,0.38
336,Michelle Lonsdale,36001,51.82,12.95,4.98,Northwest Territories,Binders and Binder Accessories,0.4
337,Grant Carroll,36134,-413.33,155.99,8.99,Northwest Territories,Telephones and Communication,0.55
338,Beth Paige,36135,381.17,35.99,3.3,Northwest Territories,Telephones and Communication,0.39
339,Dorothy Wardle,36644,218.72,99.99,19.99,Northwest Territories,Computer Peripherals,0.5
340,Muhammed MacIntyre,36646,-743.96,48.91,35,Northwest Territories,Storage & Organization,0.83
341,Charlotte Melton,36707,71.56,3.78,0.71,Northwest Territories,Rubber Bands,0.39
342,Muhammed MacIntyre,37253,-99.55,26.31,5.89,Northwest Territories,Computer Peripherals,0.75
343,Claudia Miner,37541,-70.68,20.95,5.99,Northwest Territories,Computer Peripherals,0.65
344,Claudia Miner,37541,98.32,55.98,13.88,Northwest Territories,Paper,0.36
345,Claudia Miner,37541,-599.54,80.98,35,Northwest Territories,Storage & Organization,0.81
346,Brendan Dodson,37634,-36.78,12.21,4.81,Northwest Territories,Storage & Organization,0.58
347,Dorothy Wardle,37793,-49.31,13.9,7.59,Northwest Territories,"Scissors, Rulers and Trimmers",0.56
348,Mike Pelletier,37860,-98.31,55.5,52.2,Northwest Territories,Office Furnishings,0.72
349,Edward Hooks,38884,-119.84,5.28,5.66,Northwest Territories,Paper,0.4
350,Edward Hooks,38884,-98.05,296.18,54.12,Northwest Territories,Tables,0.76
351,Jamie Kunitz,39364,-1.33,92.23,39.61,Northwest Territories,Office Furnishings,0.67
352,Jamie Kunitz,39364,8417.57,1270.99,19.99,Northwest Territories,Binders and Binder Accessories,0.35
353,Julia West,39457,-1975.26,122.99,70.2,Northwest Territories,Chairs & Chairmats,0.74
354,Jeremy Lonsdale,39683,168,18.99,5.23,Northwest Territories,Binders and Binder Accessories,0.37
355,Jeremy Lonsdale,39683,2113.95,218.08,18.06,Northwest Territories,Chairs & Chairmats,0.57
356,Jeremy Lonsdale,39683,66.97,20.24,6.67,Northwest Territories,Office Furnishings,0.49
357,Jeremy Lonsdale,39683,6.37,2.18,0.78,Northwest Territories,Rubber Bands,0.52
358,Cindy Schnelling,39846,-62.73,4.98,4.62,Northwest Territories,Computer Peripherals,0.64
359,Heather Kirkland,40036,-147.36,65.99,8.99,Northwest Territories,Telephones and Communication,0.58
360,Alan Barnes,40067,519.25,65.99,5.31,Northwest Territories,Telephones and Communication,0.57
361,Hunter Glantz,40132,149.83,50.98,14.19,Northwest Territories,Chairs & Chairmats,0.56
362,Hunter Glantz,40132,-219.38,124.49,51.94,Northwest Territories,Tables,0.63
363,Hunter Glantz,40132,-86.2,22.38,15.1,Northwest Territories,Binders and Binder Accessories,0.38
364,Julia West,40160,202.87,63.94,14.48,Northwest Territories,Office Furnishings,0.46
365,Carlos Daly,40518,-12.16,4.13,5.04,Northwest Territories,Binders and Binder Accessories,0.38
366,Barry French,40804,-1775.83,122.99,70.2,Northwest Territories,Chairs & Chairmats,0.74
367,Susan Vittorini,40902,-48.88,7.1,6.05,Northwest Territories,Binders and Binder Accessories,0.39
368,Carl Jackson,41063,-34.09,21.38,8.99,Northwest Territories,Pens & Art Supplies,0.59
369,Carl Jackson,41063,42.27,35.99,0.99,Northwest Territories,Telephones and Communication,0.35
370,Carl Jackson,41063,822.89,85.99,1.25,Northwest Territories,Telephones and Communication,0.39
371,Alan Barnes,41153,-45.1,30.73,4,Northwest Territories,Computer Peripherals,0.75
372,Charlotte Melton,41184,-56.06,15.7,11.25,Northwest Territories,Storage & Organization,0.6
373,Beth Thompson,41409,-18.25,11.5,7.19,Northwest Territories,Binders and Binder Accessories,0.4
374,Bryan Mills,41696,-2088.68,4.48,49,Northwest Territories,Appliances,0.6
375,Alan Barnes,42209,-12.82,67.84,0.99,Northwest Territories,Appliances,0.58
376,Alan Barnes,42209,2795.36,276.2,24.49,Northwest Territories,Chairs & Chairmats,
377,Beth Paige,42561,298.48,85.99,2.5,Northwest Territories,Telephones and Communication,0.35
378,Mike Pelletier,42564,2155.41,200.98,23.76,Northwest Territories,Chairs & Chairmats,0.58
379,Delfina Latchford,42695,-10.3,65.99,5.31,Northwest Territories,Telephones and Communication,0.57
380,Susan Vittorini,42981,232.44,896.99,19.99,Northwest Territories,Binders and Binder Accessories,0.38
381,Dorothy Wardle,43109,-21.85,15.01,8.4,Northwest Territories,Binders and Binder Accessories,0.39
382,Dorothy Wardle,43109,-145.78,20.97,6.5,Northwest Territories,Computer Peripherals,0.78
383,Dorothy Wardle,43109,-3.96,10.01,1.99,Northwest Territories,Computer Peripherals,0.41
384,Susan Vittorini,43203,-33.69,6.68,5.2,Northwest Territories,Paper,0.37
385,Jamie Kunitz,43236,10.68,9.77,6.02,Northwest Territories,Office Furnishings,0.48
386,Fred Wasserman,43267,171.26,76.72,19.95,Northwest Territories,Appliances,0.54
387,Doug Bickford,43329,752.37,59.98,3.99,Northwest Territories,Appliances,0.57
388,Fred Wasserman,43330,337.04,65.99,8.99,Northwest Territories,Telephones and Communication,0.58
389,Susan Vittorini,43364,158.98,23.99,6.71,Northwest Territories,Envelopes,0.35
390,Doug Bickford,43392,2969.81,162.93,19.99,Northwest Territories,Envelopes,0.39
391,Claudia Miner,43781,240.41,10.94,1.39,Northwest Territories,Envelopes,0.35
392,Claudia Miner,43781,393.41,40.98,2.99,Northwest Territories,Binders and Binder Accessories,0.36
393,Frank Price,44071,-43.75,5.99,4.92,Northwest Territories,Binders and Binder Accessories,0.38
394,Frank Price,44071,83.84,65.99,8.99,Northwest Territories,Telephones and Communication,0.58
395,Dorothy Wardle,44519,-144.76,4.57,5.42,Northwest Territories,Binders and Binder Accessories,0.37
396,Dorothy Wardle,44519,155.69,10.67,1.39,Northwest Territories,Envelopes,0.39
397,Dorothy Wardle,44519,5386.32,442.14,14.7,Northwest Territories,Office Machines,0.56
398,Allen Rosenblatt,44708,-37.39,1.74,4.08,Northwest Territories,Office Furnishings,0.53
399,Dorothy Wardle,44772,-232.99,55.99,5,Northwest Territories,Telephones and Communication,0.83
400,Julia West,44839,-246.3,33.98,19.99,Northwest Territories,Office Furnishings,0.55
401,Ralph Knight,45217,1864.66,200.99,4.2,Northwest Territories,Telephones and Communication,0.59
402,Michelle Lonsdale,45440,-183.6,135.99,28.63,Northwest Territories,Chairs & Chairmats,0.76
403,Charlotte Melton,45766,1026.07,63.94,14.48,Northwest Territories,Office Furnishings,0.46
404,Charlotte Melton,45766,1765.48,140.99,13.99,Northwest Territories,Office Machines,0.37
405,Allen Rosenblatt,45861,319.1,20.99,0.99,Northwest Territories,Telephones and Communication,0.37
406,Neola Schneider,45957,162.83,39.24,1.99,Northwest Territories,Computer Peripherals,0.51
407,Neola Schneider,45957,-30.92,7.64,5.83,Northwest Territories,Paper,0.36
408,Joy Bell,46912,181.53,54.74,14.83,Northwest Territories,Office Furnishings,0.54
409,Monica Federle,46980,103.16,6.3,0.5,Northwest Territories,Labels,0.39
410,Jamie Kunitz,47460,-3.64,2.84,0.93,Northwest Territories,Pens & Art Supplies,0.54
411,Susan Vittorini,47462,-166.92,3.58,5.47,Northwest Territories,Binders and Binder Accessories,0.37
412,Susan Vittorini,47462,-1.22,5.85,2.27,Northwest Territories,Pens & Art Supplies,0.56
413,Susan Vittorini,47462,21.62,3.29,1.35,Northwest Territories,Rubber Bands,0.4
414,Charles McCrossin,47620,20.27,10.98,3.37,Northwest Territories,"Scissors, Rulers and Trimmers",0.57
415,Cari Schnelling,47749,-188.53,8.45,7.77,Northwest Territories,"Scissors, Rulers and Trimmers",0.55
416,Doug Bickford,47873,-17.38,5.89,5.57,Northwest Territories,Office Furnishings,0.41
417,Don Miller,47943,24.06,4.91,0.5,Northwest Territories,Labels,0.36
418,Don Miller,47943,63.46,15.94,5.45,Northwest Territories,Pens & Art Supplies,0.55
419,Fred Wasserman,48101,-39.92,22.84,16.87,Northwest Territories,Paper,0.39
420,Bryan Mills,48295,4938.78,204.1,13.99,Northwest Territories,Office Machines,0.37
421,Carlos Daly,48839,-37.06,98.31,0.49,Northwest Territories,Labels,0.36
422,Joy Bell,49154,-807.89,60.98,49,Northwest Territories,Appliances,0.59
423,Claudia Miner,49921,-280.28,145.45,17.85,Northwest Territories,Office Machines,0.56
424,Claudia Miner,49921,-7.26,12.28,6.13,Northwest Territories,Storage & Organization,0.57
425,Beth Thompson,49952,630.28,107.53,5.81,Northwest Territories,Office Furnishings,0.65
426,Allen Rosenblatt,50117,14.49,2.89,0.5,Northwest Territories,Labels,0.38
427,Beth Thompson,50278,-27.53,20.98,8.83,Northwest Territories,Binders and Binder Accessories,0.37
428,Beth Thompson,50278,-355.94,100.8,60,Northwest Territories,Tables,0.59
429,Susan Vittorini,50374,1443.35,120.98,9.07,Northwest Territories,Binders and Binder Accessories,0.35
430,Sylvia Foulston,50565,-138.82,16.98,12.39,Northwest Territories,Envelopes,0.35
431,Joy Bell,50688,27.86,12.98,3.14,Northwest Territories,"Scissors, Rulers and Trimmers",0.6
432,Becky Castell,50754,-58.34,7.99,5.03,Northwest Territories,Telephones and Communication,0.6
433,Carlos Daly,50914,2763.13,195.99,8.99,Northwest Territories,Telephones and Communication,0.58
434,Cari Schnelling,51169,-192.92,136.98,24.49,Northwest Territories,Office Furnishings,0.59
435,Jim Radford,51938,-488.31,125.99,5.63,Northwest Territories,Telephones and Communication,0.6
436,Allen Rosenblatt,51970,-343.47,115.99,56.14,Northwest Territories,Office Machines,0.4
437,Dorothy Badders,51971,-1129.96,32.48,35,Northwest Territories,Storage & Organization,0.81
438,Dorothy Badders,51971,-803.52,182.55,69,Northwest Territories,Tables,0.72
439,Mike Pelletier,52193,10.51,2.88,0.5,Northwest Territories,Labels,0.39
440,Mike Pelletier,52193,6.04,2.94,0.96,Northwest Territories,Pens & Art Supplies,0.58
441,Doug Bickford,52321,-37.52,12.28,6.13,Northwest Territories,Storage & Organization,0.57
442,Doug Bickford,52321,5626.42,349.45,60,Northwest Territories,Tables,
443,Susan Vittorini,52386,-188.58,120.97,26.3,Northwest Territories,Office Machines,0.38
444,Andrew Gjertsen,52807,204.74,21.98,2.87,Northwest Territories,Pens & Art Supplies,0.55
445,Muhammed MacIntyre,52929,-90.14,15.99,9.4,Northwest Territories,Office Machines,0.49
446,Muhammed MacIntyre,52929,-6.53,2.78,1.25,Northwest Territories,Pens & Art Supplies,0.59
447,Muhammed MacIntyre,52929,7.34,6.47,1.22,Northwest Territories,Pens & Art Supplies,0.4
448,Muhammed MacIntyre,52929,19.68,3.93,0.99,Northwest Territories,Rubber Bands,0.39
449,Jim Radford,52964,828.27,136.98,24.49,Northwest Territories,Office Furnishings,0.59
450,Bryan Davis,53156,56.44,4.13,0.99,Northwest Territories,Labels,0.39
451,Anthony Johnson,53511,-243.24,5.81,8.49,Northwest Territories,Binders and Binder Accessories,0.39
452,Anthony Johnson,53511,-53.62,9.65,6.22,Northwest Territories,Office Furnishings,0.55
453,Doug Bickford,53797,-213.32,58.14,36.61,Northwest Territories,Bookcases,0.61
454,Carlos Daly,53990,1411.03,110.99,2.5,Northwest Territories,Telephones and Communication,0.57
455,Don Miller,54083,258.01,279.81,23.19,Northwest Territories,Appliances,0.59
456,Don Jones,54274,328,78.65,13.99,Northwest Territories,Appliances,0.52
457,Chad Cunningham,54276,299.59,35.44,4.92,Northwest Territories,Paper,0.38
458,Ralph Arnett,54528,-85.91,11.66,8.99,Northwest Territories,Pens & Art Supplies,0.59
459,Ralph Arnett,54528,-6.38,10.48,2.89,Northwest Territories,Pens & Art Supplies,0.6
460,Nicole Hansen,54567,-61.59,6.28,5.41,Northwest Territories,Office Furnishings,0.53
461,Fred Wasserman,54628,115.54,22.98,1.99,Northwest Territories,Computer Peripherals,0.46
462,Bryan Mills,55298,-165.6,300.98,64.73,Northwest Territories,Chairs & Chairmats,0.56
463,Ralph Arnett,55363,542.16,155.06,7.07,Northwest Territories,Storage & Organization,0.59
464,Doug Bickford,55366,-204.65,55.94,6.55,Northwest Territories,Computer Peripherals,0.68
465,Eugene Barchas,55715,16.65,5.28,2.99,Northwest Territories,Binders and Binder Accessories,0.37
466,Brad Eason,55875,39.29,7.59,4,Northwest Territories,Office Furnishings,0.42
467,Brad Eason,55875,-104.96,5.98,4.69,Northwest Territories,Storage & Organization,0.68
468,Dorothy Wardle,56453,-5572.39,2550.14,29.7,Northwest Territories,Office Machines,0.57
469,Ralph Knight,57127,171.82,55.48,14.3,Northwest Territories,Paper,0.37
470,Sylvia Foulston,57344,-71.03,28.99,8.59,Northwest Territories,Telephones and Communication,0.56
471,Neola Schneider,57509,101.13,4.91,0.5,Northwest Territories,Labels,0.36
472,Neola Schneider,57509,-202.58,259.71,66.67,Northwest Territories,Tables,0.61
473,Grant Carroll,57600,584.15,59.78,10.29,Northwest Territories,Binders and Binder Accessories,0.39
474,Grant Carroll,57600,85.81,4.13,0.5,Prince Edward Island,Labels,0.39
475,Grant Carroll,57600,-8.42,30.98,17.08,Prince Edward Island,Paper,0.4
476,Julia West,58055,-56.45,7.38,5.21,Prince Edward Island,Office Furnishings,0.56
477,Muhammed MacIntyre,58144,257.32,26.38,5.86,Prince Edward Island,Paper,0.39
478,Susan Vittorini,58150,-119.62,2.16,6.05,Prince Edward Island,Binders and Binder Accessories,0.37
479,Sylvia Foulston,58340,278.12,50.98,13.66,Prince Edward Island,Appliances,0.58
480,Doug Bickford,58368,-4.43,2.08,5.33,Prince Edward Island,Office Furnishings,0.43
481,Doug Bickford,58368,-206.46,6.48,9.54,Prince Edward Island,Paper,0.37
482,Doug Bickford,58368,-76.11,64.98,6.88,Prince Edward Island,Storage & Organization,0.73
483,Dorothy Badders,58434,268.32,19.23,6.15,Prince Edward Island,Office Furnishings,0.44
484,Henry Goldwyn,58626,673.77,300.98,64.73,Prince Edward Island,Chairs & Chairmats,0.56
485,Henry Goldwyn,58626,2608.72,500.98,26,Prince Edward Island,Chairs & Chairmats,0.6
486,Henry Goldwyn,58626,171.59,45.19,1.99,Prince Edward Island,Computer Peripherals,0.55
487,Grant Carroll,58688,-41.87,11.97,5.81,Prince Edward Island,Pens & Art Supplies,0.6
488,Chad Cunningham,59045,32.87,4.55,1.49,Prince Edward Island,Binders and Binder Accessories,0.35
489,Beth Thompson,59047,19.2,28.48,1.99,Prince Edward Island,Computer Peripherals,0.4
490,Beth Thompson,59047,-93.93,4.14,6.6,Prince Edward Island,Office Furnishings,0.49
491,Andrew Gjertsen,59202,21.92,12.53,0.5,Prince Edward Island,Labels,0.38
492,Andrew Gjertsen,59202,7.45,5.85,2.27,Prince Edward Island,Pens & Art Supplies,0.56
493,Sylvia Foulston,59207,-945.56,280.98,81.98,Prince Edward Island,Tables,0.78
494,Michelle Lonsdale,59234,2109.21,177.98,0.99,Prince Edward Island,Appliances,0.56
495,Michelle Lonsdale,59234,11.46,50.98,14.19,Prince Edward Island,Chairs & Chairmats,0.56
496,Cari Schnelling,59395,367.12,48.04,7.23,Prince Edward Island,Paper,0.37
497,Henry Goldwyn,59558,37.73,2.61,0.5,Prince Edward Island,Labels,0.39
498,Edward Hooks,59585,-110.93,15.99,9.4,Prince Edward Island,Office Machines,0.49
499,Brendan Dodson,59651,-196.06,8.04,8.94,Prince Edward Island,Binders and Binder Accessories,0.4
500,Brendan Dodson,59651,-52.92,2.23,4.57,Prince Edward Island,Office Furnishings,0.41
501,Harold Engle,645,89.45,12.95,4.98,Prince Edward Island,Binders and Binder Accessories,0.4
502,Roy French,769,4.15,115.99,56.14,Prince Edward Island,Office Machines,0.4
503,Helen Abelman,773,324.93,65.99,8.99,Prince Edward Island,Telephones and Communication,0.56
504,Guy Armstrong,1187,20.21,15.98,4,Prince Edward Island,Computer Peripherals,0.37
505,Jennifer Braxton,2339,-120.45,140.85,19.99,Prince Edward Island,Storage & Organization,0.73
506,Giulietta Baptist,3521,28.71,4.28,0.94,Prince Edward Island,Pens & Art Supplies,0.56
507,Jack Lebron,4007,112.36,56.96,13.22,Prince Edward Island,Appliances,0.56
508,Jack Lebron,4007,-232.24,279.48,35,Prince Edward Island,Storage & Organization,0.8
509,Erica Bern,4416,2665.4,165.98,19.99,Prince Edward Island,Binders and Binder Accessories,0.4
510,Erica Bern,4454,21.42,3.08,0.5,Prince Edward Island,Labels,0.37
511,Helen Abelman,5153,1467.82,128.24,12.65,Prince Edward Island,Chairs & Chairmats,
512,Guy Armstrong,5446,44.1,10.98,4.8,Prince Edward Island,Envelopes,0.36
513,Helen Abelman,8131,191.29,29.89,1.99,Prince Edward Island,Computer Peripherals,0.5
514,Christopher Schild,8994,-580.32,40.48,19.99,Prince Edward Island,Computer Peripherals,0.77
515,Roy French,9027,458.98,35.99,0.99,Prince Edward Island,Telephones and Communication,0.35
516,Roy French,9216,-86.68,180.98,55.24,Prince Edward Island,Appliances,0.57
517,Jennifer Braxton,9537,-382.38,150.98,66.27,Prince Edward Island,Bookcases,0.65
518,Jennifer Braxton,9537,-149.09,3.81,5.44,Prince Edward Island,Binders and Binder Accessories,0.36
519,Joy Smith,9574,-68.98,11.5,7.19,Prince Edward Island,Binders and Binder Accessories,0.4
520,Evan Minnotte,10435,-14.31,22.99,8.99,Prince Edward Island,Pens & Art Supplies,0.57
521,Evan Minnotte,10435,-162.24,11.66,7.95,Prince Edward Island,Pens & Art Supplies,0.58
522,Jenna Caffey,10851,-175.13,12.88,4.59,Prince Edward Island,"Scissors, Rulers and Trimmers",0.82
523,Harold Engle,10852,-27.26,15.28,10.91,Prince Edward Island,Binders and Binder Accessories,0.36
524,Harold Engle,10852,3030.16,300.98,54.92,Prince Edward Island,Bookcases,0.55
525,Harold Engle,11269,354.96,65.99,5.99,Prince Edward Island,Telephones and Communication,0.58
526,Harold Engle,11269,112.35,4.91,0.5,Prince Edward Island,Labels,0.36
527,Harold Engle,11269,-19.32,27.75,19.99,Prince Edward Island,Storage & Organization,0.67
528,Hilary Holden,11362,569.57,110.98,13.99,Prince Edward Island,Office Furnishings,0.69
529,Hilary Holden,11362,-119.66,2.18,5,Prince Edward Island,"Scissors, Rulers and Trimmers",0.81
530,Hilary Holden,11362,-690.21,699.99,24.49,Prince Edward Island,Copiers and Fax,0.41
531,Hilary Holden,11362,424.14,110.99,8.99,Prince Edward Island,Telephones and Communication,0.57
